ano_arquivo,data_referencia,uf,evento,total_vitima,total,feminino,masculino,nao_informado
2023,2023-01-01,AC,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Arma de Fogo Apreendida,0.0,49.0,0.0,0.0,0.0
2023,2023-01-01,AC,Atendimento pré-hospitalar,0.0,24.0,0.0,0.0,0.0
2023,2023-01-01,AC,Busca e salvamento,0.0,28.0,0.0,0.0,0.0
2023,2023-01-01,AC,Combate a incêndios,0.0,125.0,0.0,0.0,0.0
2023,2023-01-01,AC,Emissão de Alvarás de licença,0.0,912.0,0.0,0.0,0.0
2023,2023-01-01,AC,Estupro,15.0,0.0,13.0,1.0,1.0
2023,2023-01-01,AC,Estupro de vulnerável,53.0,0.0,51.0,2.0,0.0
2023,2023-01-01,AC,Feminicídio,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Furto de veículo,0.0,57.0,0.0,0.0,0.0
2023,2023-01-01,AC,Homicídio doloso,18.0,0.0,1.0,17.0,0.0
2023,2023-01-01,AC,Lesão corporal seguida de morte,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Mandado de prisão cumprido,0.0,112.0,0.0,0.0,0.0
2023,2023-01-01,AC,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),6.0,0.0,0.0,6.0,0.0
2023,2023-01-01,AC,Morte por intervenção de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Mortes a esclarecer (sem indício de crime),3.0,0.0,1.0,2.0,0.0
2023,2023-01-01,AC,Mortes no trânsito,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Pessoa Desaparecida,36.0,0.0,13.0,20.0,3.0
2023,2023-01-01,AC,Pessoa Localizada,26.0,0.0,9.0,16.0,1.0
2023,2023-01-01,AC,Realização de vistorias,0.0,825.0,0.0,0.0,0.0
2023,2023-01-01,AC,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Roubo de carga,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AC,Roubo de veículo,0.0,48.0,0.0,0.0,0.0
2023,2023-01-01,AC,Roubo seguido de morte (latrocínio),1.0,0.0,0.0,1.0,0.0
2023,2023-01-01,AC,Suicídio,10.0,0.0,3.0,7.0,0.0
2023,2023-01-01,AC,Suicídio de Agente do Estado,1.0,0.0,0.0,1.0,0.0
2023,2023-01-01,AC,Tentativa de feminicídio,3.0,0.0,3.0,0.0,0.0
2023,2023-01-01,AC,Tentativa de homicídio,26.0,0.0,1.0,25.0,0.0
2023,2023-01-01,AC,Tráfico de drogas,0.0,73.0,0.0,0.0,0.0
2023,2023-01-01,AL,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AL,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AL,Arma de Fogo Apreendida,0.0,160.0,0.0,0.0,0.0
2023,2023-01-01,AL,Atendimento pré-hospitalar,0.0,501.0,0.0,0.0,0.0
2023,2023-01-01,AL,Busca e salvamento,0.0,417.0,0.0,0.0,0.0
2023,2023-01-01,AL,Combate a incêndios,0.0,160.0,0.0,0.0,0.0
2023,2023-01-01,AL,Emissão de Alvarás de licença,0.0,532.0,0.0,0.0,0.0
2023,2023-01-01,AL,Estupro,17.0,0.0,16.0,1.0,0.0
2023,2023-01-01,AL,Estupro de vulnerável,82.0,0.0,74.0,7.0,1.0
2023,2023-01-01,AL,Feminicídio,3.0,0.0,3.0,0.0,0.0
2023,2023-01-01,AL,Furto de veículo,0.0,171.0,0.0,0.0,0.0
2023,2023-01-01,AL,Homicídio doloso,101.0,0.0,5.0,96.0,0.0
2023,2023-01-01,AL,Lesão corporal seguida de morte,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AL,Mandado de prisão cumprido,0.0,173.0,0.0,0.0,0.0
2023,2023-01-01,AL,Morte de Agente do Estado,3.0,0.0,0.0,3.0,0.0
2023,2023-01-01,AL,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),51.0,0.0,8.0,39.0,4.0
2023,2023-01-01,AL,Morte por intervenção de Agente do Estado,9.0,0.0,1.0,8.0,0.0
2023,2023-01-01,AL,Mortes a esclarecer (sem indício de crime),31.0,0.0,6.0,24.0,1.0
2023,2023-01-01,AL,Mortes no trânsito,7.0,0.0,1.0,6.0,0.0
2023,2023-01-01,AL,Pessoa Desaparecida,59.0,0.0,18.0,41.0,0.0
2023,2023-01-01,AL,Pessoa Localizada,9.0,0.0,1.0,8.0,0.0
2023,2023-01-01,AL,Realização de vistorias,0.0,1029.0,0.0,0.0,0.0
2023,2023-01-01,AL,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AL,Roubo de carga,0.0,1.0,0.0,0.0,0.0
2023,2023-01-01,AL,Roubo de veículo,0.0,143.0,0.0,0.0,0.0
2023,2023-01-01,AL,Roubo seguido de morte (latrocínio),4.0,0.0,0.0,4.0,0.0
2023,2023-01-01,AL,Suicídio,15.0,0.0,2.0,13.0,0.0
2023,2023-01-01,AL,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AL,Tentativa de feminicídio,3.0,0.0,3.0,0.0,0.0
2023,2023-01-01,AL,Tentativa de homicídio,63.0,0.0,12.0,47.0,4.0
2023,2023-01-01,AL,Tráfico de drogas,0.0,130.0,0.0,0.0,0.0
2023,2023-01-01,AM,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AM,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AM,Arma de Fogo Apreendida,0.0,90.0,0.0,0.0,0.0
2023,2023-01-01,AM,Atendimento pré-hospitalar,0.0,30.0,0.0,0.0,0.0
2023,2023-01-01,AM,Busca e salvamento,0.0,163.0,0.0,0.0,0.0
2023,2023-01-01,AM,Combate a incêndios,0.0,54.0,0.0,0.0,0.0
2023,2023-01-01,AM,Emissão de Alvarás de licença,0.0,310.0,0.0,0.0,0.0
2023,2023-01-01,AM,Estupro,20.0,0.0,16.0,4.0,0.0
2023,2023-01-01,AM,Estupro de vulnerável,49.0,0.0,39.0,10.0,0.0
2023,2023-01-01,AM,Feminicídio,1.0,0.0,1.0,0.0,0.0
2023,2023-01-01,AM,Furto de veículo,0.0,124.0,0.0,0.0,0.0
2023,2023-01-01,AM,Homicídio doloso,103.0,0.0,7.0,96.0,0.0
2023,2023-01-01,AM,Lesão corporal seguida de morte,9.0,0.0,0.0,9.0,0.0
2023,2023-01-01,AM,Mandado de prisão cumprido,0.0,178.0,0.0,0.0,0.0
2023,2023-01-01,AM,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AM,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),20.0,0.0,4.0,16.0,0.0
2023,2023-01-01,AM,Morte por intervenção de Agente do Estado,2.0,0.0,0.0,2.0,0.0
2023,2023-01-01,AM,Mortes a esclarecer (sem indício de crime),0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AM,Mortes no trânsito,2.0,0.0,0.0,2.0,0.0
2023,2023-01-01,AM,Pessoa Desaparecida,99.0,0.0,42.0,57.0,0.0
2023,2023-01-01,AM,Pessoa Localizada,44.0,0.0,27.0,17.0,0.0
2023,2023-01-01,AM,Realização de vistorias,0.0,361.0,0.0,0.0,0.0
2023,2023-01-01,AM,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AM,Roubo de carga,0.0,1.0,0.0,0.0,0.0
2023,2023-01-01,AM,Roubo de veículo,0.0,128.0,0.0,0.0,0.0
2023,2023-01-01,AM,Roubo seguido de morte (latrocínio),1.0,0.0,0.0,1.0,0.0
2023,2023-01-01,AM,Suicídio,21.0,0.0,5.0,16.0,0.0
2023,2023-01-01,AM,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2023,2023-01-01,AM,Tentativa de feminicídio,7.0,0.0,7.0,0.0,0.0
2023,2023-01-01,AM,Tentativa de homicídio,22.0,0.0,3.0,17.0,2.0
