ano_arquivo,data_referencia,uf,evento,total_vitima,total,feminino,masculino,nao_informado
2022,2022-01-01,AC,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Arma de Fogo Apreendida,0.0,32.0,0.0,0.0,0.0
2022,2022-01-01,AC,Atendimento pré-hospitalar,0.0,53.0,0.0,0.0,0.0
2022,2022-01-01,AC,Busca e salvamento,0.0,313.0,0.0,0.0,0.0
2022,2022-01-01,AC,Combate a incêndios,0.0,52.0,0.0,0.0,0.0
2022,2022-01-01,AC,Emissão de Alvarás de licença,0.0,937.0,0.0,0.0,0.0
2022,2022-01-01,AC,Estupro,12.0,0.0,11.0,1.0,0.0
2022,2022-01-01,AC,Estupro de vulnerável,36.0,0.0,34.0,2.0,0.0
2022,2022-01-01,AC,Feminicídio,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Furto de veículo,0.0,70.0,0.0,0.0,0.0
2022,2022-01-01,AC,Homicídio doloso,9.0,0.0,2.0,7.0,0.0
2022,2022-01-01,AC,Lesão corporal seguida de morte,1.0,0.0,0.0,1.0,0.0
2022,2022-01-01,AC,Mandado de prisão cumprido,0.0,117.0,0.0,0.0,0.0
2022,2022-01-01,AC,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),5.0,0.0,1.0,4.0,0.0
2022,2022-01-01,AC,Morte por intervenção de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Mortes a esclarecer (sem indício de crime),0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Mortes no trânsito,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Pessoa Desaparecida,32.0,0.0,12.0,19.0,1.0
2022,2022-01-01,AC,Pessoa Localizada,14.0,0.0,1.0,12.0,1.0
2022,2022-01-01,AC,Realização de vistorias,0.0,814.0,0.0,0.0,0.0
2022,2022-01-01,AC,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Roubo de carga,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Roubo de veículo,0.0,69.0,0.0,0.0,0.0
2022,2022-01-01,AC,Roubo seguido de morte (latrocínio),0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Suicídio,6.0,0.0,2.0,4.0,0.0
2022,2022-01-01,AC,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AC,Tentativa de feminicídio,3.0,0.0,3.0,0.0,0.0
2022,2022-01-01,AC,Tentativa de homicídio,24.0,0.0,5.0,19.0,0.0
2022,2022-01-01,AC,Tráfico de drogas,0.0,68.0,0.0,0.0,0.0
2022,2022-01-01,AL,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AL,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AL,Arma de Fogo Apreendida,0.0,114.0,0.0,0.0,0.0
2022,2022-01-01,AL,Atendimento pré-hospitalar,0.0,528.0,0.0,0.0,0.0
2022,2022-01-01,AL,Busca e salvamento,0.0,349.0,0.0,0.0,0.0
2022,2022-01-01,AL,Combate a incêndios,0.0,110.0,0.0,0.0,0.0
2022,2022-01-01,AL,Emissão de Alvarás de licença,0.0,425.0,0.0,0.0,0.0
2022,2022-01-01,AL,Estupro,27.0,0.0,26.0,1.0,0.0
2022,2022-01-01,AL,Estupro de vulnerável,60.0,0.0,52.0,8.0,0.0
2022,2022-01-01,AL,Feminicídio,5.0,0.0,5.0,0.0,0.0
2022,2022-01-01,AL,Furto de veículo,0.0,169.0,0.0,0.0,0.0
2022,2022-01-01,AL,Homicídio doloso,97.0,0.0,6.0,91.0,0.0
2022,2022-01-01,AL,Lesão corporal seguida de morte,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AL,Mandado de prisão cumprido,0.0,119.0,0.0,0.0,0.0
2022,2022-01-01,AL,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AL,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),42.0,0.0,2.0,37.0,3.0
2022,2022-01-01,AL,Morte por intervenção de Agente do Estado,4.0,0.0,0.0,4.0,0.0
2022,2022-01-01,AL,Mortes a esclarecer (sem indício de crime),44.0,0.0,9.0,33.0,2.0
2022,2022-01-01,AL,Mortes no trânsito,5.0,0.0,0.0,5.0,0.0
2022,2022-01-01,AL,Pessoa Desaparecida,49.0,0.0,8.0,41.0,0.0
2022,2022-01-01,AL,Pessoa Localizada,10.0,0.0,5.0,5.0,0.0
2022,2022-01-01,AL,Realização de vistorias,0.0,820.0,0.0,0.0,0.0
2022,2022-01-01,AL,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2022,2022-01-01,AL,Roubo de carga,0.0,1.0,0.0,0.0,0.0
2022,2022-01-01,AL,Roubo de veículo,0.0,134.0,0.0,0.0,0.0
2022,2022-01-01,AL,Roubo seguido de morte (latrocínio),1.0,0.0,0.0,1.0,0.0
2022,2022-01-01,AL,Suicídio,15.0,0.0,7.0,8.0,0.0
2022,2022-01-01,AL,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
