ano_arquivo,data_referencia,uf,evento,total_vitima,total,feminino,masculino,nao_informado
2021,2021-01-01,AC,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Arma de Fogo Apreendida,0.0,361.0,0.0,0.0,0.0
2021,2021-01-01,AC,Atendimento pré-hospitalar,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Busca e salvamento,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Combate a incêndios,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Emissão de Alvarás de licença,0.0,1127.0,0.0,0.0,0.0
2021,2021-01-01,AC,Estupro,19.0,0.0,17.0,0.0,2.0
2021,2021-01-01,AC,Estupro de vulnerável,48.0,0.0,43.0,3.0,2.0
2021,2021-01-01,AC,Feminicídio,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Furto de veículo,0.0,58.0,0.0,0.0,0.0
2021,2021-01-01,AC,Homicídio doloso,13.0,0.0,1.0,12.0,0.0
2021,2021-01-01,AC,Lesão corporal seguida de morte,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Mandado de prisão cumprido,0.0,137.0,0.0,0.0,0.0
2021,2021-01-01,AC,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),3.0,0.0,0.0,3.0,0.0
2021,2021-01-01,AC,Morte por intervenção de Agente do Estado,2.0,0.0,0.0,2.0,0.0
2021,2021-01-01,AC,Mortes a esclarecer (sem indício de crime),2.0,0.0,1.0,1.0,0.0
2021,2021-01-01,AC,Mortes no trânsito,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Pessoa Desaparecida,30.0,0.0,11.0,19.0,0.0
2021,2021-01-01,AC,Pessoa Localizada,24.0,0.0,10.0,14.0,0.0
2021,2021-01-01,AC,Realização de vistorias,0.0,675.0,0.0,0.0,0.0
2021,2021-01-01,AC,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Roubo de carga,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Roubo de veículo,0.0,100.0,0.0,0.0,0.0
2021,2021-01-01,AC,Roubo seguido de morte (latrocínio),2.0,0.0,0.0,2.0,0.0
2021,2021-01-01,AC,Suicídio,4.0,0.0,1.0,3.0,0.0
2021,2021-01-01,AC,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AC,Tentativa de feminicídio,4.0,0.0,4.0,0.0,0.0
2021,2021-01-01,AC,Tentativa de homicídio,11.0,0.0,1.0,10.0,0.0
2021,2021-01-01,AC,Tráfico de drogas,0.0,46.0,0.0,0.0,0.0
2021,2021-01-01,AL,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AL,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2021,2021-01-01,AL,Arma de Fogo Apreendida,0.0,196.0,0.0,0.0,0.0
2021,2021-01-01,AL,Atendimento pré-hospitalar,0.0,415.0,0.0,0.0,0.0
2021,2021-01-01,AL,Busca e salvamento,0.0,268.0,0.0,0.0,0.0
2021,2021-01-01,AL,Combate a incêndios,0.0,196.0,0.0,0.0,0.0
2021,2021-01-01,AL,Emissão de Alvarás de licença,0.0,471.0,0.0,0.0,0.0
2021,2021-01-01,AL,Estupro,26.0,0.0,24.0,2.0,0.0
2021,2021-01-01,AL,Estupro de vulnerável,69.0,0.0,57.0,10.0,2.0
2021,2021-01-01,AL,Feminicídio,1.0,0.0,1.0,0.0,0.0
2021,2021-01-01,AL,Furto de veículo,0.0,126.0,0.0,0.0,0.0
2021,2021-01-01,AL,Homicídio doloso,117.0,0.0,5.0,112.0,0.0
2021,2021-01-01,AL,Lesão corporal seguida de morte,2.0,0.0,0.0,2.0,0.0
2021,2021-01-01,AL,Mandado de prisão cumprido,0.0,85.0,0.0,0.0,0.0
2021,2021-01-01,AL,Morte de Agente do Estado,2.0,0.0,0.0,2.0,0.0
2021,2021-01-01,AL,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),48.0,0.0,10.0,37.0,1.0
2021,2021-01-01,AL,Morte por intervenção de Agente do Estado,8.0,0.0,2.0,6.0,0.0
