Mês de Data Referencia;Evento;Uf;Total
abril de 2019;Roubo de veículo;AM;132
abril de 2019;Roubo de veículo;AP;55
abril de 2019;Roubo de veículo;BA;1027
abril de 2019;Roubo de veículo;CE;442
abril de 2019;Roubo de veículo;DF;315
abril de 2019;Roubo de veículo;ES;344
abril de 2019;Roubo de veículo;GO;373
abril de 2019;Roubo de veículo;MA;386
abril de 2019;Roubo de veículo;MG;863
abril de 2019;Roubo de veículo;MS;53
abril de 2019;Roubo de veículo;MT;192
abril de 2019;Roubo de veículo;PA;331
abril de 2019;Roubo de veículo;PB;298
abril de 2019;Roubo de veículo;PE;1115
abril de 2019;Roubo de veículo;PI;272
abril de 2019;Roubo de veículo;PR;509
abril de 2019;Roubo de veículo;RJ;3755
abril de 2019;Roubo de veículo;RN;288
abril de 2019;Roubo de veículo;RO;
abril de 2019;Roubo de veículo;RR;51
abril de 2019;Roubo de veículo;RS;1011
abril de 2019;Roubo de veículo;SC;125
abril de 2019;Roubo de veículo;SE;155
abril de 2019;Roubo de veículo;SP;4070
abril de 2019;Roubo de veículo;TO;65
maio de 2019;Roubo de veículo;AC;165
maio de 2019;Roubo de veículo;AL;215
maio de 2019;Roubo de veículo;AM;184
maio de 2019;Roubo de veículo;AP;58
maio de 2019;Roubo de veículo;BA;1095
maio de 2019;Roubo de veículo;CE;429
maio de 2019;Roubo de veículo;DF;333
maio de 2019;Roubo de veículo;ES;307
maio de 2019;Roubo de veículo;GO;372
maio de 2019;Roubo de veículo;MA;351
maio de 2019;Roubo de veículo;MG;843
maio de 2019;Roubo de veículo;MS;45
maio de 2019;Roubo de veículo;MT;150
maio de 2019;Roubo de veículo;PA;343
maio de 2019;Roubo de veículo;PB;285
maio de 2019;Roubo de veículo;PE;1258
maio de 2019;Roubo de veículo;PI;311
maio de 2019;Roubo de veículo;PR;580
maio de 2019;Roubo de veículo;RJ;3649
maio de 2019;Roubo de veículo;RN;435
maio de 2019;Roubo de veículo;RO;
maio de 2019;Roubo de veículo;RR;41
maio de 2019;Roubo de veículo;RS;906
maio de 2019;Roubo de veículo;SC;153
maio de 2019;Roubo de veículo;SE;136
maio de 2019;Roubo de veículo;SP;4089
maio de 2019;Roubo de veículo;TO;45
junho de 2019;Roubo de veículo;AC;179
junho de 2019;Roubo de veículo;AL;164
junho de 2019;Roubo de veículo;AM;208
junho de 2019;Roubo de veículo;AP;65
junho de 2019;Roubo de veículo;BA;852
junho de 2019;Roubo de veículo;CE;454
junho de 2019;Roubo de veículo;DF;264
