ano_arquivo,data_referencia,uf,evento,total_vitima,total,feminino,masculino,nao_informado
2020,2020-01-01,AC,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Arma de Fogo Apreendida,0.0,4.0,0.0,0.0,0.0
2020,2020-01-01,AC,Atendimento pré-hospitalar,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Busca e salvamento,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Combate a incêndios,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Emissão de Alvarás de licença,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Estupro,14.0,0.0,12.0,1.0,1.0
2020,2020-01-01,AC,Estupro de vulnerável,22.0,0.0,19.0,2.0,1.0
2020,2020-01-01,AC,Feminicídio,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Furto de veículo,0.0,107.0,0.0,0.0,0.0
2020,2020-01-01,AC,Homicídio doloso,45.0,0.0,5.0,40.0,0.0
2020,2020-01-01,AC,Lesão corporal seguida de morte,1.0,0.0,0.0,1.0,0.0
2020,2020-01-01,AC,Mandado de prisão cumprido,0.0,212.0,0.0,0.0,0.0
2020,2020-01-01,AC,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),7.0,0.0,0.0,7.0,0.0
2020,2020-01-01,AC,Morte por intervenção de Agente do Estado,4.0,0.0,0.0,4.0,0.0
2020,2020-01-01,AC,Mortes a esclarecer (sem indício de crime),0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Mortes no trânsito,2.0,0.0,0.0,2.0,0.0
2020,2020-01-01,AC,Pessoa Desaparecida,25.0,0.0,12.0,13.0,0.0
2020,2020-01-01,AC,Pessoa Localizada,8.0,0.0,2.0,5.0,1.0
2020,2020-01-01,AC,Realização de vistorias,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Roubo de carga,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Roubo de veículo,0.0,112.0,0.0,0.0,0.0
2020,2020-01-01,AC,Roubo seguido de morte (latrocínio),1.0,0.0,0.0,1.0,0.0
2020,2020-01-01,AC,Suicídio,5.0,0.0,0.0,5.0,0.0
2020,2020-01-01,AC,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AC,Tentativa de feminicídio,2.0,0.0,2.0,0.0,0.0
2020,2020-01-01,AC,Tentativa de homicídio,12.0,0.0,3.0,9.0,0.0
2020,2020-01-01,AC,Tráfico de drogas,0.0,22.0,0.0,0.0,0.0
2020,2020-01-01,AL,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AL,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AL,Arma de Fogo Apreendida,0.0,140.0,0.0,0.0,0.0
2020,2020-01-01,AL,Atendimento pré-hospitalar,0.0,473.0,0.0,0.0,0.0
2020,2020-01-01,AL,Busca e salvamento,0.0,290.0,0.0,0.0,0.0
2020,2020-01-01,AL,Combate a incêndios,0.0,263.0,0.0,0.0,0.0
2020,2020-01-01,AL,Emissão de Alvarás de licença,0.0,575.0,0.0,0.0,0.0
2020,2020-01-01,AL,Estupro,19.0,0.0,19.0,0.0,0.0
2020,2020-01-01,AL,Estupro de vulnerável,78.0,0.0,70.0,6.0,2.0
2020,2020-01-01,AL,Feminicídio,3.0,0.0,3.0,0.0,0.0
2020,2020-01-01,AL,Furto de veículo,0.0,178.0,0.0,0.0,0.0
2020,2020-01-01,AL,Homicídio doloso,92.0,0.0,5.0,87.0,0.0
2020,2020-01-01,AL,Lesão corporal seguida de morte,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AL,Mandado de prisão cumprido,0.0,99.0,0.0,0.0,0.0
2020,2020-01-01,AL,Morte de Agente do Estado,1.0,0.0,0.0,1.0,0.0
2020,2020-01-01,AL,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),33.0,0.0,2.0,30.0,1.0
2020,2020-01-01,AL,Morte por intervenção de Agente do Estado,11.0,0.0,0.0,11.0,0.0
2020,2020-01-01,AL,Mortes a esclarecer (sem indício de crime),54.0,0.0,17.0,36.0,1.0
2020,2020-01-01,AL,Mortes no trânsito,3.0,0.0,0.0,3.0,0.0
2020,2020-01-01,AL,Pessoa Desaparecida,37.0,0.0,16.0,21.0,0.0
2020,2020-01-01,AL,Pessoa Localizada,2.0,0.0,1.0,1.0,0.0
2020,2020-01-01,AL,Realização de vistorias,0.0,1132.0,0.0,0.0,0.0
2020,2020-01-01,AL,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AL,Roubo de carga,0.0,4.0,0.0,0.0,0.0
2020,2020-01-01,AL,Roubo de veículo,0.0,215.0,0.0,0.0,0.0
2020,2020-01-01,AL,Roubo seguido de morte (latrocínio),4.0,0.0,1.0,3.0,0.0
2020,2020-01-01,AL,Suicídio,13.0,0.0,1.0,12.0,0.0
2020,2020-01-01,AL,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AL,Tentativa de feminicídio,3.0,0.0,3.0,0.0,0.0
2020,2020-01-01,AL,Tentativa de homicídio,36.0,0.0,8.0,27.0,1.0
2020,2020-01-01,AL,Tráfico de drogas,0.0,61.0,0.0,0.0,0.0
2020,2020-01-01,AM,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AM,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AM,Arma de Fogo Apreendida,0.0,160.0,0.0,0.0,0.0
2020,2020-01-01,AM,Atendimento pré-hospitalar,0.0,32.0,0.0,0.0,0.0
2020,2020-01-01,AM,Busca e salvamento,0.0,174.0,0.0,0.0,0.0
2020,2020-01-01,AM,Combate a incêndios,0.0,56.0,0.0,0.0,0.0
2020,2020-01-01,AM,Emissão de Alvarás de licença,0.0,115.0,0.0,0.0,0.0
2020,2020-01-01,AM,Estupro,20.0,0.0,19.0,1.0,0.0
2020,2020-01-01,AM,Estupro de vulnerável,64.0,0.0,58.0,6.0,0.0
2020,2020-01-01,AM,Feminicídio,2.0,0.0,2.0,0.0,0.0
2020,2020-01-01,AM,Furto de veículo,0.0,230.0,0.0,0.0,0.0
2020,2020-01-01,AM,Homicídio doloso,124.0,0.0,6.0,118.0,0.0
2020,2020-01-01,AM,Lesão corporal seguida de morte,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AM,Mandado de prisão cumprido,0.0,297.0,0.0,0.0,0.0
2020,2020-01-01,AM,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AM,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AM,Morte por intervenção de Agente do Estado,13.0,0.0,12.0,0.0,1.0
2020,2020-01-01,AM,Mortes a esclarecer (sem indício de crime),3.0,0.0,0.0,3.0,0.0
2020,2020-01-01,AM,Mortes no trânsito,1.0,0.0,0.0,1.0,0.0
2020,2020-01-01,AM,Pessoa Desaparecida,64.0,0.0,42.0,22.0,0.0
2020,2020-01-01,AM,Pessoa Localizada,56.0,0.0,40.0,16.0,0.0
2020,2020-01-01,AM,Realização de vistorias,0.0,125.0,0.0,0.0,0.0
2020,2020-01-01,AM,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AM,Roubo de carga,0.0,1.0,0.0,0.0,0.0
2020,2020-01-01,AM,Roubo de veículo,0.0,208.0,0.0,0.0,0.0
2020,2020-01-01,AM,Roubo seguido de morte (latrocínio),3.0,0.0,1.0,2.0,0.0
2020,2020-01-01,AM,Suicídio,16.0,0.0,2.0,14.0,0.0
2020,2020-01-01,AM,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AM,Tentativa de feminicídio,1.0,0.0,1.0,0.0,0.0
2020,2020-01-01,AM,Tentativa de homicídio,38.0,0.0,8.0,30.0,0.0
2020,2020-01-01,AM,Tráfico de drogas,0.0,351.0,0.0,0.0,0.0
2020,2020-01-01,AP,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Arma de Fogo Apreendida,0.0,30.0,0.0,0.0,0.0
2020,2020-01-01,AP,Atendimento pré-hospitalar,0.0,513.0,0.0,0.0,0.0
2020,2020-01-01,AP,Busca e salvamento,0.0,248.0,0.0,0.0,0.0
2020,2020-01-01,AP,Combate a incêndios,0.0,50.0,0.0,0.0,0.0
2020,2020-01-01,AP,Emissão de Alvarás de licença,0.0,334.0,0.0,0.0,0.0
2020,2020-01-01,AP,Estupro,10.0,0.0,9.0,1.0,0.0
2020,2020-01-01,AP,Estupro de vulnerável,44.0,0.0,42.0,2.0,0.0
2020,2020-01-01,AP,Feminicídio,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Furto de veículo,0.0,48.0,0.0,0.0,0.0
2020,2020-01-01,AP,Homicídio doloso,31.0,0.0,5.0,26.0,0.0
2020,2020-01-01,AP,Lesão corporal seguida de morte,2.0,0.0,0.0,2.0,0.0
2020,2020-01-01,AP,Mandado de prisão cumprido,0.0,65.0,0.0,0.0,0.0
2020,2020-01-01,AP,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),2.0,0.0,0.0,2.0,0.0
2020,2020-01-01,AP,Morte por intervenção de Agente do Estado,14.0,0.0,0.0,14.0,0.0
2020,2020-01-01,AP,Mortes a esclarecer (sem indício de crime),5.0,0.0,3.0,2.0,0.0
2020,2020-01-01,AP,Mortes no trânsito,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Pessoa Desaparecida,5.0,0.0,2.0,2.0,1.0
2020,2020-01-01,AP,Pessoa Localizada,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Realização de vistorias,0.0,453.0,0.0,0.0,0.0
2020,2020-01-01,AP,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Roubo de carga,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Roubo de veículo,0.0,48.0,0.0,0.0,0.0
2020,2020-01-01,AP,Roubo seguido de morte (latrocínio),0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Suicídio,6.0,0.0,2.0,4.0,0.0
2020,2020-01-01,AP,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Tentativa de feminicídio,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,AP,Tentativa de homicídio,35.0,0.0,8.0,26.0,1.0
2020,2020-01-01,AP,Tráfico de drogas,0.0,37.0,0.0,0.0,0.0
2020,2020-01-01,BA,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2020,2020-01-01,BA,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
