ano_arquivo,data_referencia,uf,evento,total_vitima,total,feminino,masculino,nao_informado
2024,2024-01-01,AC,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AC,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AC,Arma de Fogo Apreendida,0.0,69.0,0.0,0.0,0.0
2024,2024-01-01,AC,Atendimento pré-hospitalar,0.0,47.0,0.0,0.0,0.0
2024,2024-01-01,AC,Busca e salvamento,0.0,12.0,0.0,0.0,0.0
2024,2024-01-01,AC,Combate a incêndios,0.0,111.0,0.0,0.0,0.0
2024,2024-01-01,AC,Emissão de Alvarás de licença,0.0,752.0,0.0,0.0,0.0
2024,2024-01-01,AC,Estupro,11.0,0.0,10.0,0.0,1.0
2024,2024-01-01,AC,Estupro de vulnerável,55.0,0.0,47.0,8.0,0.0
2024,2024-01-01,AC,Feminicídio,2.0,0.0,2.0,0.0,0.0
2024,2024-01-01,AC,Furto de veículo,0.0,49.0,0.0,0.0,0.0
2024,2024-01-01,AC,Homicídio doloso,23.0,0.0,1.0,22.0,0.0
2024,2024-01-01,AC,Lesão corporal seguida de morte,1.0,0.0,0.0,1.0,0.0
2024,2024-01-01,AC,Mandado de prisão cumprido,0.0,120.0,0.0,0.0,0.0
2024,2024-01-01,AC,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AC,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),11.0,0.0,2.0,9.0,0.0
2024,2024-01-01,AC,Morte por intervenção de Agente do Estado,1.0,0.0,0.0,1.0,0.0
2024,2024-01-01,AC,Mortes a esclarecer (sem indício de crime),11.0,0.0,0.0,11.0,0.0
2024,2024-01-01,AC,Mortes no trânsito,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AC,Pessoa Desaparecida,33.0,0.0,18.0,13.0,2.0
2024,2024-01-01,AC,Pessoa Localizada,28.0,0.0,15.0,12.0,1.0
2024,2024-01-01,AC,Realização de vistorias,0.0,363.0,0.0,0.0,0.0
2024,2024-01-01,AC,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AC,Roubo de carga,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AC,Roubo de veículo,0.0,33.0,0.0,0.0,0.0
2024,2024-01-01,AC,Roubo seguido de morte (latrocínio),0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AC,Suicídio,8.0,0.0,3.0,5.0,0.0
2024,2024-01-01,AC,Suicídio de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AC,Tentativa de feminicídio,3.0,0.0,3.0,0.0,0.0
2024,2024-01-01,AC,Tentativa de homicídio,26.0,0.0,5.0,21.0,0.0
2024,2024-01-01,AC,Tráfico de drogas,0.0,83.0,0.0,0.0,0.0
2024,2024-01-01,AL,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AL,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AL,Arma de Fogo Apreendida,0.0,117.0,0.0,0.0,0.0
2024,2024-01-01,AL,Atendimento pré-hospitalar,0.0,531.0,0.0,0.0,0.0
2024,2024-01-01,AL,Busca e salvamento,0.0,367.0,0.0,0.0,0.0
2024,2024-01-01,AL,Combate a incêndios,0.0,286.0,0.0,0.0,0.0
2024,2024-01-01,AL,Emissão de Alvarás de licença,0.0,773.0,0.0,0.0,0.0
2024,2024-01-01,AL,Estupro,26.0,0.0,25.0,1.0,0.0
2024,2024-01-01,AL,Estupro de vulnerável,89.0,0.0,77.0,10.0,2.0
2024,2024-01-01,AL,Feminicídio,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AL,Furto de veículo,0.0,152.0,0.0,0.0,0.0
2024,2024-01-01,AL,Homicídio doloso,102.0,0.0,2.0,100.0,0.0
2024,2024-01-01,AL,Lesão corporal seguida de morte,1.0,0.0,1.0,0.0,0.0
2024,2024-01-01,AL,Mandado de prisão cumprido,0.0,277.0,0.0,0.0,0.0
2024,2024-01-01,AL,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AL,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),35.0,0.0,5.0,23.0,7.0
2024,2024-01-01,AL,Morte por intervenção de Agente do Estado,3.0,0.0,0.0,3.0,0.0
2024,2024-01-01,AL,Mortes a esclarecer (sem indício de crime),56.0,0.0,16.0,36.0,4.0
2024,2024-01-01,AL,Mortes no trânsito,7.0,0.0,0.0,7.0,0.0
2024,2024-01-01,AL,Pessoa Desaparecida,47.0,0.0,15.0,32.0,0.0
2024,2024-01-01,AL,Pessoa Localizada,6.0,0.0,4.0,2.0,0.0
2024,2024-01-01,AL,Realização de vistorias,0.0,585.0,0.0,0.0,0.0
2024,2024-01-01,AL,Roubo a instituição financeira,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AL,Roubo de carga,0.0,4.0,0.0,0.0,0.0
2024,2024-01-01,AL,Roubo de veículo,0.0,161.0,0.0,0.0,0.0
2024,2024-01-01,AL,Roubo seguido de morte (latrocínio),1.0,0.0,0.0,1.0,0.0
2024,2024-01-01,AL,Suicídio,10.0,0.0,1.0,9.0,0.0
2024,2024-01-01,AL,Suicídio de Agente do Estado,2.0,0.0,0.0,2.0,0.0
2024,2024-01-01,AL,Tentativa de feminicídio,11.0,0.0,11.0,0.0,0.0
2024,2024-01-01,AL,Tentativa de homicídio,62.0,0.0,8.0,50.0,4.0
2024,2024-01-01,AL,Tráfico de drogas,0.0,107.0,0.0,0.0,0.0
2024,2024-01-01,AM,Apreensão de Cocaína,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AM,Apreensão de Maconha,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AM,Arma de Fogo Apreendida,0.0,142.0,0.0,0.0,0.0
2024,2024-01-01,AM,Atendimento pré-hospitalar,0.0,104.0,0.0,0.0,0.0
2024,2024-01-01,AM,Busca e salvamento,0.0,184.0,0.0,0.0,0.0
2024,2024-01-01,AM,Combate a incêndios,0.0,83.0,0.0,0.0,0.0
2024,2024-01-01,AM,Emissão de Alvarás de licença,0.0,453.0,0.0,0.0,0.0
2024,2024-01-01,AM,Estupro,18.0,0.0,18.0,0.0,0.0
2024,2024-01-01,AM,Estupro de vulnerável,64.0,0.0,55.0,8.0,1.0
2024,2024-01-01,AM,Feminicídio,2.0,0.0,2.0,0.0,0.0
2024,2024-01-01,AM,Furto de veículo,0.0,106.0,0.0,0.0,0.0
2024,2024-01-01,AM,Homicídio doloso,88.0,0.0,5.0,83.0,0.0
2024,2024-01-01,AM,Lesão corporal seguida de morte,4.0,0.0,0.0,4.0,0.0
2024,2024-01-01,AM,Mandado de prisão cumprido,0.0,233.0,0.0,0.0,0.0
2024,2024-01-01,AM,Morte de Agente do Estado,0.0,0.0,0.0,0.0,0.0
2024,2024-01-01,AM,Morte no trânsito ou em decorrência dele (exceto homicídio doloso),21.0,0.0,4.0,17.0,0.0
2024,2024-01-01,AM,Morte por intervenção de Agente do Estado,8.0,0.0,0.0,8.0,0.0
2024,2024-01-01,AM,Mortes a esclarecer (sem indício de crime),0.0,0.0,0.0,0.0,0.0
